Cluster;beer;beer_id;beer_type;A_malt_grain;A_malt_bread;A_malt_cara;A_malt_burn;A_hops_citrus;A_hops_tropical;A_hops_noble;A_hops_woody;A_esters_ethac;A_esters_isoaa;A_esters_flower;A_esters_fruity;F_malt_grain;F_malt_bread;F_malt_cara;F_malt_burn;F_hops_citrus;F_hops_tropical;F_hops_noble;F_hops_woody;F_esters_ethac;F_esters_isoaa;F_esters_flower;F_esters_fruity;acidity;bitternes;sweetness;X4vg;diacetyl;dms;metallic;stale_hops;t2n;orange;coriander;clove;lactic;acetic;barnyard;co2;overall
7;221;5,4129E+16;22;0,373050556;-0,236012361;0,133361078;-0,344571392;-0,231262715;-0,167881235;-0,318554246;0,178786979;-0,625498998;-0,353706326;-0,280953176;-0,100340818;0,078538097;-0,025880949;-0,077593351;0,164346997;0,041047997;-0,30098773;0,183496521;0,275153879;-0,535268107;-0,265406974;-0,14554014;-0,113776643;-0,25188271;0,769783843;-0,636441798;1,125137933;-0,357110617;0,150748653;0,544640156;0,122236755;-0,138047589;0,034084614;-0,189554844;-0,216705748;-0,307661735;-0,277172747;0,138771081;0,059229576;462278515
7;193;5,4111E+16;11;-0,188068352;-0,194294517;-0,49441088;-0,303443347;0,484402809;0,477701228;-0,412721925;-0,055812479;-0,066773898;0,076011655;0,296691205;0,740878001;-0,110357282;-0,070631128;-0,418995514;-0,061411293;0,15044879;-0,294197242;-0,454714877;-0,327667967;0,279731393;-0,642599993;0,900098645;0,287594094;-0,189869014;0,051130397;-0,192635144;-0,30864112;-0,127461735;0,718900979;0,398917071;0,095759091;-0,210133807;-0,053372801;-0,179348095;-0,220350874;-0,305958122;-0,276604088;0,103185706;0,102720568;3127291
7;16;5,4111E+16;22;-0,184196026;1,244658784;-0,012743999;0,344794601;-0,42144908;-0,393148507;0,041289132;-0,230208912;-0,559457545;-0,395733441;-0,066561546;-0,228365015;0,11490357;-0,073230079;0,408108187;0,121321061;-0,254956043;-0,319629026;-0,1917846;0,033244838;-0,128679675;-0,132755003;0,170414516;0,040200791;-0,468558823;-0,258413009;-0,384597771;-0,184168833;-0,170408827;0,16426658;0,929190378;-0,107067809;0,155769461;-0,135144187;-0,18192213;-0,21769707;-0,304882645;-0,276372668;-0,099641194;0,167398107;146352348
7;191;5,4111E+16;21;0,129272397;-0,242526222;-0,144201508;-0,2940446;-0,171244708;-0,013330431;-0,189653325;-0,280257605;0,163632032;0,437499253;-0,184025267;-0,263508891;-0,101665592;-0,042029215;-0,263322647;-0,161390187;0,257942275;-0,173692584;0,046043013;-0,302601557;0,377120008;0,100759967;-0,28092024;-0,35306898;-0,410527325;0,335237429;0,044101925;-0,473926201;0,696554612;0,427372751;0,131913752;0,26540787;-0,086042866;-0,21880875;-0,18330242;-0,216298389;-0,324601223;-0,290500678;0,298434795;0,068317779;49512314
7;183;5,4107E+16;9;-0,156691981;-0,240449251;-0,35120578;-0,155000218;0,031765565;-0,317325955;0,384095605;-0,266476137;-0,307012853;0,368766473;-0,392114653;0,901761339;0,093756886;0,098704711;-0,361834818;-0,306636683;0,006624898;-0,254582242;-0,03305648;-0,087004648;-0,086348754;0,559203409;-0,257345654;0,543460609;-0,407353492;-0,230824791;0,022071314;3,355030417;0,147957046;-0,288764287;-0,380338202;0,304146989;-0,383441107;-0,232899061;-0,157613252;1,724819955;-0,298918702;-0,277261904;0,328542549;-0,302032563;-187626765
7;152;5,4107E+16;15;0,109448754;0,034726355;-0,314919827;-0,144531041;-0,450663539;-0,154281408;-0,278183926;-0,129468117;-0,145024309;0,046069115;-0,17272701;-0,057826097;-0,027202111;0,055782907;-0,332719493;-0,032981802;0,1033385;-0,309650477;-0,43399904;-0,125124446;-0,428517882;-0,344316435;-0,297449026;0,161819563;-0,046961164;-0,306768442;-0,217366004;1,959445272;0,225295533;1,288362124;-0,29004831;-0,358735719;0,058137905;0,185472131;0,500836655;0,578657082;-0,307014173;-0,278342102;-0,349452449;0,296142415;-267720979
7;30;5,43E+14;11;-0,250466433;-0,302423681;-0,453922272;-0,271850258;-0,020586386;0,792757309;-0,084731666;-0,278312821;0,125152631;0,709905592;0,139061546;-0,064656647;-0,315613183;-0,424805125;-0,28909232;-0,262236788;0,448498945;0,464106647;-0,125058228;-0,310444688;0,372715837;0,860885825;-0,302299588;-0,006631841;-0,40216802;0,365070974;0,445643433;-0,390942709;0,126780962;-0,293632762;-0,352175749;-0,346611975;-0,045947845;-0,227749707;-0,186646869;-0,22386688;-0,329386681;-0,298126863;-0,341800213;-0,266565938;506713308
7;43;5041300503;18;-0,195312944;-0,497728125;-0,149132217;0,032196478;-0,162672152;0,722567242;-0,473240008;-0,000694587;-0,24620311;0,199687194;0,027221586;0,444952778;-0,119679018;-0,439580334;-0,496403774;0,307022439;-0,124259497;0,719347695;-0,538147328;-0,213597811;-0,570700928;0,370861936;0,096612309;0,547728174;-0,505669973;-0,217470642;0,094499989;1,362916152;-0,351102;0,388610623;-0,159678424;-0,354340222;0,042505637;0,079853535;-0,166094786;-0,202969443;-0,277969661;-0,260953251;-0,346278732;0,237107235;-63158959
7;142;54112087;15;-0,342767488;-0,293905792;-0,55166984;-0,144531041;0,860725214;0,130939841;-0,057424317;-0,364543644;-0,518852094;0,193260969;0,60349341;-0,559714974;0,311065637;-0,03001236;-0,267158894;-0,502050606;0,155350911;-0,013520423;-0,062452424;-0,425054147;-0,301303197;-0,020617562;0,401401177;-0,203810264;-0,476920916;-0,06779412;-0,418824593;-0,009910486;-0,542401876;-0,145103047;1,421843517;-0,358735719;0,041050756;0,206428355;0,563390017;0,107608277;-0,307014173;-0,278342102;-0,349452449;0,444083852;83811052
7;85;54112018;21;0,480129598;-0,475549493;-0,215546158;-0,1446395;-0,220080848;-0,410507223;-0,114735612;-0,315650957;-0,026106926;0,029906005;-0,291019495;-0,19830003;0,726036692;-0,613064796;-0,045742919;-0,475284332;0,156134755;-0,334334102;0,486220964;-0,42888298;0,032496985;0,063136709;0,040067885;-0,151263668;-0,329259928;0,320623802;-0,173394651;-0,384457658;-0,417307707;-0,088313005;0,672267015;-0,33946832;0,162663041;-0,248464318;-0,171020968;-0,213774845;-0,3007086;-0,2680461;-0,332595306;0,446098867;-267025234
