Cluster;beer;beer_id;beer_type;A_malt_grain;A_malt_bread;A_malt_cara;A_malt_burn;A_hops_citrus;A_hops_tropical;A_hops_noble;A_hops_woody;A_esters_ethac;A_esters_isoaa;A_esters_flower;A_esters_fruity;F_malt_grain;F_malt_bread;F_malt_cara;F_malt_burn;F_hops_citrus;F_hops_tropical;F_hops_noble;F_hops_woody;F_esters_ethac;F_esters_isoaa;F_esters_flower;F_esters_fruity;acidity;bitternes;sweetness;X4vg;diacetyl;dms;metallic;stale_hops;t2n;orange;coriander;clove;lactic;acetic;barnyard;co2;overall
7;246;5,41078E+17;Blond;-0,057812974;-0,236764625;-0,495997296;-0,101333415;0,282353736;0,087548466;0,077371151;-0,329769384;0,465855251;0,404699691;-0,355350142;-0,135233912;0,012476712;0,400121588;-0,038812122;-0,178876947;0,32444213;0,145160094;0,098494733;-0,355054969;0,374990159;0,543330405;-0,337577246;0,210805458;-0,443857248;-0,101685561;-0,061638478;-0,537465588;-0,055537676;-0,536749489;0,079615773;-0,352271463;-0,462282809;-0,228287652;-0,166329579;-0,200984741;-0,311306183;-0,266568441;-0,344019668;-0,227386373;4823215
7;73;5,41077E+17;Blond;-0,510135663;-0,47235686;-0,453922272;-0,271850258;-0,10940164;0,413335082;-0,095396686;0,020654878;-0,053180427;-0,165249163;0,482598267;0,44184481;-0,463236266;-0,636782768;-0,494199328;-0,366490295;0,351463289;0,604103124;-0,352588001;-0,310444688;-0,382888395;-0,464231778;0,612912008;0,517328904;-0,480623913;-0,167723192;0,384893963;0,143167999;-0,273389839;-0,242672251;0,528006209;-0,058223289;-0,217506502;1,841747648;1,613106834;-0,22386688;-0,329386681;-0,298126863;-0,024163268;-0,175094627;566697861
7;248;5,41026E+17;Blond;-0,08410747;-0,403362847;-0,294193324;-0,048945485;-0,130899553;0,032270734;-0,445759339;0,055211574;0,056241703;-0,546236478;0,149224642;-0,002670023;-0,401075954;-0,52360867;-0,071212827;-0,146699429;0,313941698;0,152689812;-0,271556394;-0,035177716;0,146451341;-0,221811972;0,456437617;0,085130046;0,524108738;-0,527587318;0,174118247;0,327807742;0,631353986;0,578873673;1,053390557;-0,264746041;0,583762151;-0,224174694;-0,1626491;-0,206146241;-0,33738911;-0,287612613;-0,259033259;-0,886288864;-359762771
7;62;5,41023E+17;Blond;0,329662749;0,120529348;-0,185316164;0,056125953;-0,08757276;-0,030085227;-0,410427542;-0,064544763;0,307027556;0,552086798;-0,214396035;-0,171495777;0,085007998;-0,069114647;-0,341803405;-0,249946899;0,248439403;-0,108276869;-0,381439605;-0,304527227;0,173120437;-0,06282479;-0,199409228;-0,254850372;-0,297442406;0,325242677;-0,198486613;0,366304232;0,106045425;0,555306785;0,802905294;-0,347079929;0,182592527;-0,238318514;-0,173337151;0,000962889;-0,303586551;-0,275928439;-0,34032846;-0,251574972;-19150513
7;49;5,41023E+17;Blond;0,411676694;-0,260315298;0,264650492;0,618348928;-0,407149307;-0,347583558;-0,626013258;0,46023989;-0,308314265;-0,282925375;-0,184976941;-0,187376828;0,009867975;-0,299812905;-0,306388146;0,25839657;0,087553258;-0,379782183;-0,561727524;0,649382063;-0,216942585;-0,209952874;-0,313401086;-0,175968668;-0,186843683;-0,697589179;0,729084914;1,745927719;0,797996455;0,35657048;-0,461030779;0,079073996;0,77030346;-0,224174694;-0,1626491;0,067760897;-0,33738911;-0,287612613;0,101285795;-0,299281676;212837249
7;71;5,41023E+17;Blond;-0,135171052;0,165794022;-0,214699782;-0,133311456;-0,389254109;0,203108354;-0,338591018;0,153582168;-0,308196343;-0,290498335;-0,05507652;-0,025157967;-0,062554343;-0,303854422;-0,304493406;-0,200982382;-0,024163198;0,271730105;-0,011196847;0,232920439;-0,211423239;-0,204811443;-0,302299588;-0,056776028;-0,480623913;-0,190370239;0,199952769;2,015540775;-0,007034349;0,395004083;-0,136687335;0,043513093;0,146332457;-0,227749707;-0,186646869;0,180768664;-0,329386681;-0,298126863;0,077573115;0,02895818;-243976659
7;238;5,4129E+16;Blond;-0,206596482;-0,074760567;0,235520213;0,457103782;-0,129476187;-0,068955125;-0,208556834;0,183710496;-0,181058079;-0,010896077;-0,316721583;-0,355692105;-0,375076611;-0,312817495;-0,12044397;-0,1653104;-0,10910055;-0,14052828;-0,527255837;-0,033098842;-0,130062693;-0,33252496;-0,313071566;-0,312700309;0,391930831;-0,066126147;-0,041476818;1,561159147;0,247698796;0,384342447;0,936795497;0,308098177;0,031047212;-0,120308934;-0,184973815;0,074744559;-0,275693057;-0,276884051;0,355009819;-0,066286524;349727167
7;193;5,4111E+16;Blond;-0,188068352;-0,194294517;-0,49441088;-0,303443347;0,484402809;0,477701228;-0,412721925;-0,055812479;-0,066773898;0,076011655;0,296691205;0,740878001;-0,110357282;-0,070631128;-0,418995514;-0,061411293;0,15044879;-0,294197242;-0,454714877;-0,327667967;0,279731393;-0,642599993;0,900098645;0,287594094;-0,189869014;0,051130397;-0,192635144;-0,30864112;-0,127461735;0,718900979;0,398917071;0,095759091;-0,210133807;-0,053372801;-0,179348095;-0,220350874;-0,305958122;-0,276604088;0,103185706;0,102720568;3127291
7;30;5,43E+14;Blond;-0,250466433;-0,302423681;-0,453922272;-0,271850258;-0,020586386;0,792757309;-0,084731666;-0,278312821;0,125152631;0,709905592;0,139061546;-0,064656647;-0,315613183;-0,424805125;-0,28909232;-0,262236788;0,448498945;0,464106647;-0,125058228;-0,310444688;0,372715837;0,860885825;-0,302299588;-0,006631841;-0,40216802;0,365070974;0,445643433;-0,390942709;0,126780962;-0,293632762;-0,352175749;-0,346611975;-0,045947845;-0,227749707;-0,186646869;-0,22386688;-0,329386681;-0,298126863;-0,341800213;-0,266565938;506713308
7;136;54085176;Blond;0,114742249;-0,526030519;0,118263527;-0,044112955;-0,279698807;0,360380366;-0,04791951;-0,086187364;-0,025107655;0,73722939;-0,325070392;0,591780214;-0,061404263;-0,352343928;0,24661051;-0,489784166;-0,51325821;0,005177621;0,144306889;-0,484079168;-0,033168143;0,202746366;-0,385343773;-0,028753879;-0,295991511;-0,020828653;-0,314072571;-0,434653695;0,337134401;-0,358367006;0,004969599;-0,361025743;-0,488937098;0,424351338;1,506689123;0,193755631;-0,305115811;-0,262030858;-0,353126849;-0,42383814;-252203528
7;3;54055308;Blond;0,061125467;-0,275918374;-0,263200632;-0,126345257;-0,043959019;0,028339193;-0,443259749;-0,054926204;0,039159534;0,250788805;-0,010401041;-0,001806532;-0,084858073;-0,325373537;-0,361939649;-0,040256571;0,022342535;-0,066436804;-0,322832348;-0,076841028;0,376290669;0,441856472;-0,123095746;-0,231332545;0,05972145;-0,290686735;0,154614146;-0,131867305;0,296413415;-0,43352163;0,302998149;-0,260182821;0,130467547;-0,224174694;-0,1626491;-0,000715888;-0,33738911;-0,287612613;-0,248119333;-0,40651556;149526151
